频道	liveId	liveSid	LiveName	LiveDesc	正在观看	Count
热门	1049151062	93300346	【Ａ one】? 伊冰儿 招收主持	【Ａ one】?热舞伊冰儿直播间，招收优质主播联系微信：yy30034	3219	1
热门	196881979	82323856	小百合★关注4869百合4.19周年庆	高冷女王小百合	8804	1
热门	1360447139	38013301	?゛China゛魅姬?尊师美Q	【Ｃhina】171?魅姬?鸡姐很性感~鸡姐很有才~	1017	1
热门	1106626076	68586718	娛+户外 小马【毕徒】关注4月11周年庆	【娱+小站】３５２９４-冯小马  户外直播?? 关注小马4月11号周年庆	2210	1
热门	1265912592	30733487	『梦想』汽车直播间 prince陈	玩车发烧友	4947	1
热门	1139748528	80697355	?炫?7哥乔峰【怀旧粤语】	【炫音】7哥乔峰【粤语经典】广西主播，招聘主播加QQ765283777	1463	1
热门	1156980456	88266370	?．小啊蕊我的榜55555..	?【星梦5730】小啊蕊：霸气不改小啊蕊	792	1
热门	1267253120	40105368	【乐芝声?】耀轩	【乐芝声?】耀轩  上午十点 下午四点直播 招主播加Y群8333332	960	1
热门	1403745160	31790758	【Z宇】媛媛  小毛驴儿激情热舞	【Z宇】媛媛  激情热舞 直播时间11点到14点18点到22点	792	1
热门	736032892	72375450	「ＮＯ１传媒」卡特ル【尊师娜寶】	「№１」?卡特ル ?? 寻找用心听故事的你	7907	1
热门	1437176328	76815189	【娱+ 】晴 儿；乌龟小公举	【娱+ 】晴儿；回归主播，欢迎宝宝们回家！	576	1
热门	1441036991	98265240	【鉑】?小  凡 147191「励志凡」	【鉑】?小凡 湖南励志凡147191求关注	831	1
热门	637379	18192998	YY好声音- 莫言	【娱+】〝Ｍo 莫 言 ２２７８３８直 播 间 欢 迎 您！每晚8点-10点直播	2717	1
热门	1450143519	54150991	【领域】艾菲儿灬跳舞主播	【领域】跳舞主播艾菲丶儿 招聘主播Y群：5405555	2150	1
热门	87513371	31677337	暴力夫妻。豿辰 豿姐	每天上午11点晚九点不见不散  最犀利的语言 演绎最精彩的人生 豿辰	1192	1
热门	1318677966	20529518	゛小凡	[直播]新人小凡直播间1314卡黄、求守护、求关注、月末了求秒榜（拒绝人情黄）	867	1
动听	426233217	54880976	YY好声音-小兔宝	【991：好声音剧场】	12821	1
动听	1012456442	63260471	?i Ｒ? 娜寳ル  公众微信娜么宝贵	娜宝万人演唱会	28199	1
动听	603909207	54395151	【娛+】大米西西 呔~	大米西西好歌不断	12806	1
动听	1258592844	49480036	3989 魏佳艺 合约到期，寻找下家！	实力女歌手魏佳艺	11111	1
动听	1139748528	80697355	?炫?7哥乔峰【怀旧粤语】	【炫音】7哥乔峰【粤语经典】广西主播，招聘主播加QQ765283777	1461	1
动听	324162286	54371663	【娱+6854】典典 要萝莉?尊师文er	萝莉典典动情歌唱	10338	1
动听	148315651	55893334	?i Ｒ?小损样【尊师阿哲】刷萝莉	可爱女神小逗比	58566	1
动听	416322776	34538363	「紫光」359543?孜然小童鞋	【紫光５８８】孜然小童鞋感谢陪伴，直播时间：上午10-12 晚上8-10	1262	1
动听	1297268267	3081673646	一只狐	一只狐正在直播	560	1
动听	1063321133	66854914	YY好声音-桔子	无敌小桔子！	3802	1
动听	1383971659	92447866	YY好声音-喵小特	清纯美女天籁之音	2064	1
动听	196881979	82323856	小百合★关注4869百合4.19周年庆	高冷女王小百合	8797	1
动听	407780327	90690240	【娱+】眯眯  ~大波妹子~	百变波霸女神眯眯	8018	1
动听	143527254	12153136	7625成都美er：唱歌 棒棒糖！	7625情歌美er  我唱你听吗！一个安静唱歌的主播，感谢所有支持过美er的朋友	6094	1
动听	1012721519	39040263	【鉑】＂蜜枣 .	韩范十足小蜜枣	3931	1
动听	637379	18192998	YY好声音- 莫言	莫言人美歌好听	2716	1
动听	1048888053	20504185	天下-鸿涛 大家开一开珍爱团过一下任务	搞怪农民工鸿涛	65525	1
动听	1040019619	95881289	双胞胎?小布小豆?3903	呆萌可爱双胞胎	9207	1
动听	1055950496	94091994	24154波波雪 求萝莉 今天胃疼	萌女神雪儿迷倒你	7966	1
动听	736032892	72375450	「ＮＯ１传媒」卡特ル【尊师娜寶】	「№１」?卡特ル ?? 寻找用心听故事的你	7904	1
动听	91203019	34347927	? i Ｒ?夏瑶 尊师阿哲	【ＩＲ】夏瑶   ?不忘初衷?  345招收优质主播加Y群14143021	4172	1
动听	618145943	78394196	【星艺】伊人：右键关注我，点心，打卡	?星艺山西清纯可爱伊人?感谢大家的支持和陪伴●ω●考主播加Q群120911855	3000	1
动听	1465538728	98723903	塔莉 过任务	天籁女神唱歌	2177	1
动听	1275604386	98261255	【鉑】＂ 荷 曦	温柔女子迷死你	1334	1
动听	1378118845	43022362	ＭＫ娱乐、路拉拉 准时girl	歌声身材无人敌	1198	1
动听	72120815	45515697	【鉑】＂ 174长腿麦麦	长腿大胸身材好	851	1
动听	1157701384	98811617	YY好声音-沐沐	?【禅啸星空】?沐沐，真爱粉，小黑粉，我们一起携手向前走吧~感谢陪伴，感谢有你。	439	1
动听	1376781660	98260089	【鉑】＂ 小苗苗 。「视频の主播」	【鉑】＂ 小苗苗 应聘主播加Q群6791980＂	316	1
动听	79107970	74785699	舞帝?.小　火ゝ关注４.1８舞帝五周年庆	[舞帝传媒]?531　小?火 商城、淘宝搜索<舞帝商城>收藏、分享	155	1
动听	945894408	20571543	【鉑】5829＂玲.新主播求关注	玲玲清爽夏装	5804	1
MC	4993882	13757650	.小浩【老也不火.	995频道:潮音乐全天无休	6506	1
MC	392734730	31410361	飞燕?組合  求关注	【6098】飞燕?组合带给你视觉盛宴新人求守护1314卡皇	3321	1
MC	1267107004	32045450	? Play ?  阿娇	【ＰＬ】阿娇直播间→官网www.madeinplay.com	1101	1
MC	1032771832	22509345	Ｇｏｄ夏炎唠一会	帅气夏炎 磁性歌声	7253	1
MC	1105704283	55439505	【娱+】萝小萝 川妹子在广州	南粤歌姬萝萝	3321	1
MC	294018380	89289862	play任航 B&R 招vp招场控哈哈哈	【ＰＬ】任 航    一个嗷嗷帅 嗷嗷牛逼的小帅哥	1162	1
MC	1244289902	29295460	【风火】小主播小志。尊师场控第一帅	【风火】小志·夜店主持、歌手！综艺性 潮音乐频道！	1507	1
MC	1387093205	60989778	【蓝调】藤一?继续努力?	贵族乐队主唱藤一	3257	1
MC	203185818	20819378	【品卓】Mc唇ル 江苏沭阳	潮音女王动感来袭	1427	1
MC	1160106742	70387950	?娱+７o⒊8?  咖 啡゛小站新同学	【娱+小站】?°70387950 咖啡゛招聘VP一名，长期秒榜就行	22	1
MC	916776781	66179995	DJ飞飞	飞飞激情打碟	4160	1
MC	71620375	97825525	二驴  - -	【８ｏ-9ｏ】mixDJ二驴!直播时间下午4点-9点 早 2点-6点	1777	1
MC	1090749566	53193993	Ｃhinａ 王小欠?尊师QJY	[Ｃhina]－１７１王小欠  带你走进嗨皮的世界	848	1
MC	992745584	63211544	【１＋】丶Mc深海i 尊师诺咿	【１+ 娱乐】 Ｍc深海★一组520卡永久黄马  兄弟们 回家吧	558	1
MC	1274710249	32608522	【品卓】余　音【尊师佳俊】	【湖南怀化】。【品卓】由浪琳独家冠名赞助。聘主播加Q76463395	962	1
MC	1239420915	27425757	【XyZ】 潇潇 新人求连麦	XyZ萧萧：娱乐直播间 欢迎你们光临	558	1
MC	64455166	26726679	? T.S 秋良  新主播求关注求连麦	? T.s 秋良   ? 新主播求关注  一组520卡簧	72	1
MC	19013510	71711832	?i Ｒ?时代C?S二成   尊师小敏感	IＲ时代二成  尊师小敏感     哲哥独家冠名                	945	1
MC	100205963	87396688	天?°空白?老大	??? 海迪娱乐ゝ辽宁岫岩，小天站在前方为你导航	245	1
MC	474205934	48202337	─╄OvЁ蓝雨丶赫子  哈哈	【蓝雨】Mc赫子，我们一起成长，我们一起辉煌。	865	1
MC	2134600	5086433	【咖啡】深情不及久伴	【咖啡八卦情感逗乐】 我不需要你们多捧我陪着我就行 ！	111	1
MC	1283028908	32349566	『梦想』江苏帅斌，微博：帅斌欧巴萌	【梦想】江苏小斌 交友 守护者何在？	453	1
MC	165273891	87748120	紫龙?敬往事一杯烈酒~！	河北?紫龙?新浪微博：YY丶紫龙?花若盛开，清风自来。	5504	1
